dataset,method,accuracy,auc,eo_tpr_gap,eqodds_tpr_gap,eqodds_tnr_gap
acs_income,baseline,0.78457387,0.859781744,0.092418305,0.092418305,0.041503932
acs_income,dsap_reweight,0.778584132,0.858756162,0.01823947,0.01823947,0.000312679
acs_income,eq_odds_eg,0.773555206,0.784356999,0.0089659,0.0089659,0.009792359
acs_income,threshold_optimizer,0.779381401,0.859844393,0.013762846,0.013762846,0.000153103
acs_employment,baseline,0.771606568,0.845224982,0.017761207,0.017761207,0.026775646
acs_employment,dsap,0.767995354,0.844996192,0.013635295,0.013635295,0.021149627
acs_employment,eq_odds_eg,0.808795734,0.835983773,0.043088199,0.043088199,0.030995702
acs_employment,threshold_optimizer,0.771236999,0.845294302,0.004291808,0.004291808,0.0099605
compas,baseline,0.675720621,0.723537049,0.273289381,0.273289381,0.15988265
compas,dsap,0.672949002,0.723621449,0.290889112,0.290889112,0.20685112
compas,eq_odds_eg,0.584257206,0.63628499,0.088501509,0.088501509,0.002798714
compas,threshold_optimizer,0.65631929,0.722768136,0.032461728,0.032461728,0.017385576
compas,baseline,0.675720621,0.723537049,0.273289381,0.273289381,0.15988265
compas,dsap,0.672949002,0.723621449,0.290889112,0.290889112,0.20685112
compas,eq_odds_eg,0.584257206,0.63628499,0.088501509,0.088501509,0.002798714
compas,threshold_optimizer,0.655764967,0.722768136,0.033784035,0.033784035,0.026043585
civilcomments,baseline_distilbert,0.943333333,0.922658141,0.0,0.0,0.0
fairface,baseline_toy,0.888888889,0.987654321,0.142857143,0.142857143,0.111111111
fairface,dear_residual,1.0,1.0,3.57e-13,3.57e-13,0.0
